2026-06-21T05:45:39.769Z pw:api navigating to "https://www.rediff.com/", waiting until "load"
2026-06-21T05:45:40.960Z pw:api   "commit" event fired
2026-06-21T05:45:40.961Z pw:api   navigated to "https://www.rediff.com/"
2026-06-21T05:45:41.185Z pw:api   navigated to "https://pay.rediff.com/webapp/rediff-pay-due-bills-widget"
2026-06-21T05:45:41.189Z pw:api   navigated to "https://money.rediff.com/widget/moneywizwidget/rhome/newhome"
2026-06-21T05:45:41.202Z pw:api   navigated to "https://money.rediff.com/widget/moneywizwidget/rhome/watchlist"
2026-06-21T05:45:41.461Z pw:api   navigated to "https://cdn.izooto.com/scripts/sak/iz_setcid.html?v=1"
2026-06-21T05:45:41.565Z pw:api   "domcontentloaded" event fired
2026-06-21T05:45:41.659Z pw:api   navigated to "https://pay.rediff.com/webapp/rediff-pay-due-bills-widget"
2026-06-21T05:45:41.663Z pw:api   navigated to "about:blank"
2026-06-21T05:45:41.930Z pw:api   navigated to "https://ads.pubmatic.com/AdServer/js/showad.js#PIX&p=158429&s=597963&a=2737615&it=0&kdntuid=1&gdpr=0&gdpr_consent=&us_privacy=&gpp=&gpp_sid="
2026-06-21T05:45:41.935Z pw:api   navigated to "https://ads.pubmatic.com/AdServer/js/showad.js"
2026-06-21T05:45:42.096Z pw:api   navigated to "https://ads.pubmatic.com/AdServer/js/showad.js#pubId=158429&siteId=597963&adId=2737615&kadwidth=970&kadheight=250&SAVersion=2&js=1&kdntuid=1&pageURL=https%3A%2F%2Fwww.rediff.com%2F&inIframe=1&kadpageurl=https%3A%2F%2Fwww.rediff.com%2F&operId=3&sec=1&kltstamp=2026-6-21%2011%3A15%3A41&timezone=5.5&screenResolution=1280x720&ranreq=0.08305935909975071&pmUniAdId=0&adVisibility=2&adPosition=7264x147&gdpr=0&sua_br=%5B%7B%22brand%22%3A%22Google%20Chrome%22%2C%22version%22%3A%5B%22149%22%5D%7D%2C%7B%22brand%22%3A%22Chromium%22%2C%22version%22%3A%5B%22149%22%5D%7D%2C%7B%22brand%22%3A%22Not)A%3BBrand%22%2C%22version%22%3A%5B%2224%22%5D%7D%5D&sua_mob=0&sua_pf_br=Windows&dspids=%7B%7D&defdcpm=0&oid=7F4B23D4-2FE2-4E09-A056-8834780D65D7&ni=165%2C0%2C0%2C0"
2026-06-21T05:45:42.104Z pw:api   navigated to "https://ads.pubmatic.com/AdServer/js/showad.js#PIX&ptask=DSP&SPug=1&fp=1&mpc=10&u=(null)&p=158429&s=597963&d=4&cp=0&sc=1&rs=0&os=0&gpp=&gpp_sid="
2026-06-21T05:45:42.318Z pw:api   navigated to "https://st.pubmatic.com/AdServer/AdDisplayTrackerServlet?operId=1&pubId=158429&siteId=597963&adId=2737615&imprId=7F4B23D4-2FE2-4E09-A056-8834780D65D7&cksum=D53F670EB5150E9&adType=3&adServerId=165&kefact=0.000000&kaxefact=0.000000&kadNetFrequecy=0&kadwidth=970&kadheight=250&kadsizeid=0&kltstamp=1782020742&indirectAdId=2365642&adServerOptimizerId=1&ranreq=0.08305935909975071&kpbmtpfact=0.000000&dcId=4&tldId=0&passback=36&svr=ADSSG40004&adsver=_165441665&adsabzcid=0&cls=ADS&i0=0x3100000000000000&i2=0x20&ekefact=hno3arrUAwBjciQWP8a6Omz0lXZHe9_eV7Fos_HLEFX0aUdZ&ekaxefact=hno3asbUAwD_Ug-coHUpiWWlkrb70gMYLuulC4Hv4vD1fX7a&ekpbmtpfact=hno3atDUAwCO3CbpNE122MHZLcMNlSIQ5C_XAdMhCWMr2IGI&enpp=hno3avzUAwAcMFoWXbEaPu1tz_4cdWFizT6fRozZ-7DUTw9u&pmr_m=hno3agXVAwCz6BvgGqdrZwuq67IzXMdWwxsi2mEC5WpKff7M&mdsp=hno3ag3VAwB8lwQ9zzOUM1OtpA_mYF6B1_8mgdx214NTSEAh&epac=hno3ahbVAwB0qQJaCUgozvD_wQSRshQDVVvD6gX0rBefr4us&pact=0&pfi=1&dc=sg4&crID=0&wAdType=3&campaignId=0&isRTB=0&ver=39&dateHr=2026062105&usrgen=0&usryob=0&layeringebl=1&gctry=in&greg=mh&uid=0&mid=0&wccookied=0&qpsladszid=0&oid=7F4B23D4-2FE2-4E09-A056-8834780D65D7&cntryId=107&sec=1&pAuSt=3&wops=0&sURL=rediff.com&BrID=5&te=1"
2026-06-21T05:45:42.458Z pw:api   navigated to "about:blank"
2026-06-21T05:45:42.566Z pw:api   navigated to "about:blank"
2026-06-21T05:45:42.584Z pw:api   navigated to "about:blank"
2026-06-21T05:45:42.649Z pw:api   navigated to "about:blank"
2026-06-21T05:45:42.654Z pw:api   navigated to "about:blank"
